times,gctimes,memory,allocs
1.80883464e6,220291.252,2084799,20042
1.742505743e6,170817.134,2084799,20042
1.717732329e6,157380.323,2084799,20042
1.726821011e6,163439.53,2084799,20042
1.723611965e6,160168.189,2084799,20042
1.7336617e6,166014.128,2084799,20042
1.699470875e6,144049.099,2084799,20042
1.731092132e6,145686.013,2084799,20042
1.711766405e6,139180.15,2084799,20042
1.713135089e6,144916.543,2084799,20042
1.701940844e6,140065.174,2084799,20042
1.69894519e6,141910.596,2084799,20042
1.713706273e6,144199.061,2084799,20042
1.686494167e6,125563.8,2084799,20042
1.687203313e6,127199.179,2084799,20042
1.71786709e6,129221.201,2084799,20042
1.692891526e6,126380.452,2084799,20042
1.697916449e6,127894.456,2084799,20042
1.702480997e6,132422.237,2084799,20042
2.11330026e6,439150.555,2084799,20042
1.740875935e6,175526.214,2084799,20042
1.730080646e6,168784.76,2084799,20042
1.728942185e6,165096.663,2084799,20042
1.725026313e6,157019.013,2084799,20042
1.723950402e6,161199.785,2084799,20042
1.746385161e6,167164.548,2084799,20042
1.729703837e6,161724.934,2084799,20042
1.732455389e6,160793.896,2084799,20042
1.719343856e6,160637.385,2084799,20042
1.747672803e6,173360.522,2084799,20042
1.730740761e6,163432.149,2084799,20042
1.732255899e6,163668.191,2084799,20042
1.715561706e6,156268.303,2084799,20042
1.736949774e6,162401.579,2084799,20042
1.722291799e6,158615.532,2084799,20042
1.724545834e6,157277.581,2084799,20042
1.69900915e6,142952.382,2084799,20042
1.720571891e6,151375.007,2084799,20042
1.714390095e6,133624.528,2084799,20042
1.700789151e6,135123.652,2084799,20042
1.699894361e6,135891.965,2084799,20042
2.13880457e6,447353.816,2084799,20042
1.738024234e6,184545.962,2084799,20042
1.747309143e6,184496.626,2084799,20042
1.718552463e6,166106.945,2084799,20042
1.73441133e6,169869.38,2084799,20042
1.724668613e6,167836.595,2084799,20042
1.740913437e6,173418.488,2084799,20042
1.739038338e6,174623.592,2084799,20042
1.747773719e6,176692.678,2084799,20042
1.73612298e6,168802.284,2084799,20042
1.73256847e6,167495.652,2084799,20042
1.722460852e6,163775.46,2084799,20042
1.74006677e6,170165.86,2084799,20042
1.733405194e6,170549.286,2084799,20042
1.749100535e6,171507.865,2084799,20042
1.719674333e6,162554.284,2084799,20042
1.724144888e6,165385.521,2084799,20042
