times,gctimes,memory,allocs
102.307,0.0,0,0
113.205,0.0,0,0
105.083,0.0,0,0
108.945,0.0,0,0
103.205,0.0,0,0
104.019,0.0,0,0
104.042,0.0,0,0
110.835,0.0,0,0
103.386,0.0,0,0
108.123,0.0,0,0
104.903,0.0,0,0
110.67,0.0,0,0
109.381,0.0,0,0
105.114,0.0,0,0
103.157,0.0,0,0
104.708,0.0,0,0
105.183,0.0,0,0
105.602,0.0,0,0
103.579,0.0,0,0
104.101,0.0,0,0
103.886,0.0,0,0
107.25,0.0,0,0
107.27,0.0,0,0
104.266,0.0,0,0
104.356,0.0,0,0
105.029,0.0,0,0
104.002,0.0,0,0
108.899,0.0,0,0
104.433,0.0,0,0
104.059,0.0,0,0
104.952,0.0,0,0
110.139,0.0,0,0
103.846,0.0,0,0
103.778,0.0,0,0
108.039,0.0,0,0
104.104,0.0,0,0
103.803,0.0,0,0
104.092,0.0,0,0
104.417,0.0,0,0
106.008,0.0,0,0
105.051,0.0,0,0
103.875,0.0,0,0
103.926,0.0,0,0
103.732,0.0,0,0
103.872,0.0,0,0
104.073,0.0,0,0
103.301,0.0,0,0
108.403,0.0,0,0
103.803,0.0,0,0
108.511,0.0,0,0
103.783,0.0,0,0
103.99,0.0,0,0
103.974,0.0,0,0
105.062,0.0,0,0
109.305,0.0,0,0
103.966,0.0,0,0
104.956,0.0,0,0
104.986,0.0,0,0
104.56,0.0,0,0
110.009,0.0,0,0
103.947,0.0,0,0
104.53,0.0,0,0
104.726,0.0,0,0
102.253,0.0,0,0
103.913,0.0,0,0
104.293,0.0,0,0
104.134,0.0,0,0
104.095,0.0,0,0
103.84,0.0,0,0
107.911,0.0,0,0
105.746,0.0,0,0
106.057,0.0,0,0
108.115,0.0,0,0
104.554,0.0,0,0
104.366,0.0,0,0
104.38,0.0,0,0
108.318,0.0,0,0
104.663,0.0,0,0
110.542,0.0,0,0
105.176,0.0,0,0
104.101,0.0,0,0
102.955,0.0,0,0
104.89,0.0,0,0
103.38,0.0,0,0
104.437,0.0,0,0
104.801,0.0,0,0
106.582,0.0,0,0
104.643,0.0,0,0
105.508,0.0,0,0
107.781,0.0,0,0
108.422,0.0,0,0
104.412,0.0,0,0
107.502,0.0,0,0
108.742,0.0,0,0
106.537,0.0,0,0
107.863,0.0,0,0
103.187,0.0,0,0
103.973,0.0,0,0
102.901,0.0,0,0
102.483,0.0,0,0
103.946,0.0,0,0
104.563,0.0,0,0
104.03,0.0,0,0
103.76,0.0,0,0
104.007,0.0,0,0
103.836,0.0,0,0
104.088,0.0,0,0
104.236,0.0,0,0
104.064,0.0,0,0
105.12,0.0,0,0
108.668,0.0,0,0
104.828,0.0,0,0
109.0,0.0,0,0
103.77,0.0,0,0
105.84,0.0,0,0
103.689,0.0,0,0
110.168,0.0,0,0
103.884,0.0,0,0
107.574,0.0,0,0
103.925,0.0,0,0
103.77,0.0,0,0
104.733,0.0,0,0
105.66,0.0,0,0
108.669,0.0,0,0
107.546,0.0,0,0
127.095,0.0,0,0
112.474,0.0,0,0
116.01,0.0,0,0
113.583,0.0,0,0
111.255,0.0,0,0
111.471,0.0,0,0
113.315,0.0,0,0
110.484,0.0,0,0
111.947,0.0,0,0
122.087,0.0,0,0
108.059,0.0,0,0
113.738,0.0,0,0
104.616,0.0,0,0
111.382,0.0,0,0
104.439,0.0,0,0
108.161,0.0,0,0
104.219,0.0,0,0
106.418,0.0,0,0
104.047,0.0,0,0
104.157,0.0,0,0
104.949,0.0,0,0
105.005,0.0,0,0
105.322,0.0,0,0
103.991,0.0,0,0
104.916,0.0,0,0
104.662,0.0,0,0
106.106,0.0,0,0
105.333,0.0,0,0
107.161,0.0,0,0
126.921,0.0,0,0
115.716,0.0,0,0
112.95,0.0,0,0
113.013,0.0,0,0
112.059,0.0,0,0
119.441,0.0,0,0
112.31,0.0,0,0
112.83,0.0,0,0
116.468,0.0,0,0
112.273,0.0,0,0
123.517,0.0,0,0
104.529,0.0,0,0
112.323,0.0,0,0
104.161,0.0,0,0
104.949,0.0,0,0
108.325,0.0,0,0
105.5,0.0,0,0
103.922,0.0,0,0
106.976,0.0,0,0
104.873,0.0,0,0
112.986,0.0,0,0
110.179,0.0,0,0
104.175,0.0,0,0
103.675,0.0,0,0
112.658,0.0,0,0
103.918,0.0,0,0
103.819,0.0,0,0
104.375,0.0,0,0
107.451,0.0,0,0
108.109,0.0,0,0
104.19,0.0,0,0
103.809,0.0,0,0
103.879,0.0,0,0
104.337,0.0,0,0
104.042,0.0,0,0
103.752,0.0,0,0
104.515,0.0,0,0
105.348,0.0,0,0
104.87,0.0,0,0
104.815,0.0,0,0
104.645,0.0,0,0
108.09,0.0,0,0
111.671,0.0,0,0
103.82,0.0,0,0
103.279,0.0,0,0
104.07,0.0,0,0
103.498,0.0,0,0
102.541,0.0,0,0
108.081,0.0,0,0
103.376,0.0,0,0
103.688,0.0,0,0
104.872,0.0,0,0
108.614,0.0,0,0
108.191,0.0,0,0
105.903,0.0,0,0
107.722,0.0,0,0
102.882,0.0,0,0
106.508,0.0,0,0
104.665,0.0,0,0
104.186,0.0,0,0
112.997,0.0,0,0
108.987,0.0,0,0
105.028,0.0,0,0
