times,gctimes,memory,allocs
105.686,0.0,0,0
108.819,0.0,0,0
108.851,0.0,0,0
111.929,0.0,0,0
112.016,0.0,0,0
106.006,0.0,0,0
107.175,0.0,0,0
104.813,0.0,0,0
106.893,0.0,0,0
109.712,0.0,0,0
111.269,0.0,0,0
105.658,0.0,0,0
112.654,0.0,0,0
104.466,0.0,0,0
104.75,0.0,0,0
108.656,0.0,0,0
105.697,0.0,0,0
109.012,0.0,0,0
105.725,0.0,0,0
103.748,0.0,0,0
112.506,0.0,0,0
106.017,0.0,0,0
105.351,0.0,0,0
105.354,0.0,0,0
105.032,0.0,0,0
170.913,0.0,0,0
112.608,0.0,0,0
125.101,0.0,0,0
113.322,0.0,0,0
116.388,0.0,0,0
113.277,0.0,0,0
111.669,0.0,0,0
116.944,0.0,0,0
115.314,0.0,0,0
113.568,0.0,0,0
124.071,0.0,0,0
109.296,0.0,0,0
104.446,0.0,0,0
109.809,0.0,0,0
109.963,0.0,0,0
108.141,0.0,0,0
105.029,0.0,0,0
105.697,0.0,0,0
104.525,0.0,0,0
104.478,0.0,0,0
106.151,0.0,0,0
105.025,0.0,0,0
104.87,0.0,0,0
105.969,0.0,0,0
109.603,0.0,0,0
105.131,0.0,0,0
104.979,0.0,0,0
108.475,0.0,0,0
104.696,0.0,0,0
104.399,0.0,0,0
107.995,0.0,0,0
105.67,0.0,0,0
105.358,0.0,0,0
110.299,0.0,0,0
109.021,0.0,0,0
106.091,0.0,0,0
106.426,0.0,0,0
105.291,0.0,0,0
104.598,0.0,0,0
106.765,0.0,0,0
104.84,0.0,0,0
104.154,0.0,0,0
106.874,0.0,0,0
104.855,0.0,0,0
105.776,0.0,0,0
104.512,0.0,0,0
104.91,0.0,0,0
106.047,0.0,0,0
104.511,0.0,0,0
107.514,0.0,0,0
109.5,0.0,0,0
112.665,0.0,0,0
104.949,0.0,0,0
105.739,0.0,0,0
105.003,0.0,0,0
105.667,0.0,0,0
106.408,0.0,0,0
104.469,0.0,0,0
104.244,0.0,0,0
104.876,0.0,0,0
104.723,0.0,0,0
106.127,0.0,0,0
105.042,0.0,0,0
105.308,0.0,0,0
105.133,0.0,0,0
111.316,0.0,0,0
109.932,0.0,0,0
105.783,0.0,0,0
105.858,0.0,0,0
104.776,0.0,0,0
104.988,0.0,0,0
106.987,0.0,0,0
110.539,0.0,0,0
104.78,0.0,0,0
104.208,0.0,0,0
104.765,0.0,0,0
106.457,0.0,0,0
106.693,0.0,0,0
111.007,0.0,0,0
105.048,0.0,0,0
106.681,0.0,0,0
104.7,0.0,0,0
108.039,0.0,0,0
105.202,0.0,0,0
105.648,0.0,0,0
107.329,0.0,0,0
105.087,0.0,0,0
111.596,0.0,0,0
109.206,0.0,0,0
105.045,0.0,0,0
108.006,0.0,0,0
105.362,0.0,0,0
105.775,0.0,0,0
104.65,0.0,0,0
109.333,0.0,0,0
104.797,0.0,0,0
104.67,0.0,0,0
105.769,0.0,0,0
110.077,0.0,0,0
103.382,0.0,0,0
106.217,0.0,0,0
105.469,0.0,0,0
104.778,0.0,0,0
104.764,0.0,0,0
105.439,0.0,0,0
108.153,0.0,0,0
111.223,0.0,0,0
105.023,0.0,0,0
104.606,0.0,0,0
104.655,0.0,0,0
110.15,0.0,0,0
105.097,0.0,0,0
105.543,0.0,0,0
105.453,0.0,0,0
105.161,0.0,0,0
105.449,0.0,0,0
105.998,0.0,0,0
105.741,0.0,0,0
105.062,0.0,0,0
104.877,0.0,0,0
104.921,0.0,0,0
105.77,0.0,0,0
106.014,0.0,0,0
105.707,0.0,0,0
105.586,0.0,0,0
109.235,0.0,0,0
104.365,0.0,0,0
106.873,0.0,0,0
107.655,0.0,0,0
114.32,0.0,0,0
105.028,0.0,0,0
106.683,0.0,0,0
105.336,0.0,0,0
104.828,0.0,0,0
104.748,0.0,0,0
109.363,0.0,0,0
109.36,0.0,0,0
106.805,0.0,0,0
104.816,0.0,0,0
105.375,0.0,0,0
104.873,0.0,0,0
107.439,0.0,0,0
108.993,0.0,0,0
105.737,0.0,0,0
106.44,0.0,0,0
105.69,0.0,0,0
105.404,0.0,0,0
108.039,0.0,0,0
104.898,0.0,0,0
108.896,0.0,0,0
108.713,0.0,0,0
110.605,0.0,0,0
106.695,0.0,0,0
107.828,0.0,0,0
103.828,0.0,0,0
104.697,0.0,0,0
104.74,0.0,0,0
105.488,0.0,0,0
104.771,0.0,0,0
110.767,0.0,0,0
109.634,0.0,0,0
114.81,0.0,0,0
106.123,0.0,0,0
109.707,0.0,0,0
105.921,0.0,0,0
111.981,0.0,0,0
105.069,0.0,0,0
105.729,0.0,0,0
104.742,0.0,0,0
107.866,0.0,0,0
106.392,0.0,0,0
108.018,0.0,0,0
104.883,0.0,0,0
104.67,0.0,0,0
104.434,0.0,0,0
104.868,0.0,0,0
104.686,0.0,0,0
104.787,0.0,0,0
108.69,0.0,0,0
104.99,0.0,0,0
105.994,0.0,0,0
105.894,0.0,0,0
105.733,0.0,0,0
105.094,0.0,0,0
104.338,0.0,0,0
104.375,0.0,0,0
105.765,0.0,0,0
105.348,0.0,0,0
104.819,0.0,0,0
104.834,0.0,0,0
104.776,0.0,0,0
104.695,0.0,0,0
106.743,0.0,0,0
104.667,0.0,0,0
105.707,0.0,0,0
103.397,0.0,0,0
105.029,0.0,0,0
104.758,0.0,0,0
106.068,0.0,0,0
110.088,0.0,0,0
105.041,0.0,0,0
106.019,0.0,0,0
111.296,0.0,0,0
105.443,0.0,0,0
105.417,0.0,0,0
105.693,0.0,0,0
105.768,0.0,0,0
104.036,0.0,0,0
109.642,0.0,0,0
107.323,0.0,0,0
106.169,0.0,0,0
109.652,0.0,0,0
108.488,0.0,0,0
105.144,0.0,0,0
114.643,0.0,0,0
110.659,0.0,0,0
105.981,0.0,0,0
107.849,0.0,0,0
105.84,0.0,0,0
105.0,0.0,0,0
109.741,0.0,0,0
104.757,0.0,0,0
106.321,0.0,0,0
105.386,0.0,0,0
105.654,0.0,0,0
105.703,0.0,0,0
108.656,0.0,0,0
104.566,0.0,0,0
109.314,0.0,0,0
112.322,0.0,0,0
104.678,0.0,0,0
105.144,0.0,0,0
105.684,0.0,0,0
105.043,0.0,0,0
105.372,0.0,0,0
105.028,0.0,0,0
112.294,0.0,0,0
127.135,0.0,0,0
112.339,0.0,0,0
122.167,0.0,0,0
111.273,0.0,0,0
116.046,0.0,0,0
113.289,0.0,0,0
111.481,0.0,0,0
114.404,0.0,0,0
112.651,0.0,0,0
112.708,0.0,0,0
118.347,0.0,0,0
106.035,0.0,0,0
104.445,0.0,0,0
111.211,0.0,0,0
104.55,0.0,0,0
109.637,0.0,0,0
105.813,0.0,0,0
104.147,0.0,0,0
107.107,0.0,0,0
109.0,0.0,0,0
107.206,0.0,0,0
109.297,0.0,0,0
105.808,0.0,0,0
105.76,0.0,0,0
111.696,0.0,0,0
110.548,0.0,0,0
108.032,0.0,0,0
105.73,0.0,0,0
111.776,0.0,0,0
105.021,0.0,0,0
106.063,0.0,0,0
105.674,0.0,0,0
105.389,0.0,0,0
105.336,0.0,0,0
111.549,0.0,0,0
108.753,0.0,0,0
103.368,0.0,0,0
106.469,0.0,0,0
114.618,0.0,0,0
108.34,0.0,0,0
105.112,0.0,0,0
104.061,0.0,0,0
106.818,0.0,0,0
106.011,0.0,0,0
105.924,0.0,0,0
104.919,0.0,0,0
104.521,0.0,0,0
105.014,0.0,0,0
105.81,0.0,0,0
105.344,0.0,0,0
109.364,0.0,0,0
105.658,0.0,0,0
104.667,0.0,0,0
105.137,0.0,0,0
105.052,0.0,0,0
105.081,0.0,0,0
108.311,0.0,0,0
104.429,0.0,0,0
105.425,0.0,0,0
105.112,0.0,0,0
104.872,0.0,0,0
105.028,0.0,0,0
111.818,0.0,0,0
105.446,0.0,0,0
105.611,0.0,0,0
106.141,0.0,0,0
106.989,0.0,0,0
105.68,0.0,0,0
104.658,0.0,0,0
106.433,0.0,0,0
111.596,0.0,0,0
112.335,0.0,0,0
112.883,0.0,0,0
108.436,0.0,0,0
106.04,0.0,0,0
113.969,0.0,0,0
105.641,0.0,0,0
104.679,0.0,0,0
105.026,0.0,0,0
109.107,0.0,0,0
104.799,0.0,0,0
104.971,0.0,0,0
105.008,0.0,0,0
113.007,0.0,0,0
108.101,0.0,0,0
107.052,0.0,0,0
108.904,0.0,0,0
106.177,0.0,0,0
109.57,0.0,0,0
104.853,0.0,0,0
104.432,0.0,0,0
105.784,0.0,0,0
107.34,0.0,0,0
105.896,0.0,0,0
105.721,0.0,0,0
104.43,0.0,0,0
108.476,0.0,0,0
104.798,0.0,0,0
109.353,0.0,0,0
104.156,0.0,0,0
105.003,0.0,0,0
105.4,0.0,0,0
107.168,0.0,0,0
105.023,0.0,0,0
105.324,0.0,0,0
105.399,0.0,0,0
110.707,0.0,0,0
105.701,0.0,0,0
104.212,0.0,0,0
107.272,0.0,0,0
105.916,0.0,0,0
109.047,0.0,0,0
113.329,0.0,0,0
105.806,0.0,0,0
105.356,0.0,0,0
104.205,0.0,0,0
105.959,0.0,0,0
105.137,0.0,0,0
107.934,0.0,0,0
105.031,0.0,0,0
105.31,0.0,0,0
105.005,0.0,0,0
104.924,0.0,0,0
105.347,0.0,0,0
104.983,0.0,0,0
105.682,0.0,0,0
105.876,0.0,0,0
106.055,0.0,0,0
104.683,0.0,0,0
110.643,0.0,0,0
105.675,0.0,0,0
109.987,0.0,0,0
105.885,0.0,0,0
107.216,0.0,0,0
104.488,0.0,0,0
105.718,0.0,0,0
105.639,0.0,0,0
105.87,0.0,0,0
110.648,0.0,0,0
110.469,0.0,0,0
104.125,0.0,0,0
105.712,0.0,0,0
104.472,0.0,0,0
106.43,0.0,0,0
106.028,0.0,0,0
105.769,0.0,0,0
108.557,0.0,0,0
107.029,0.0,0,0
104.795,0.0,0,0
104.726,0.0,0,0
105.856,0.0,0,0
105.365,0.0,0,0
105.977,0.0,0,0
106.311,0.0,0,0
104.621,0.0,0,0
104.565,0.0,0,0
104.47,0.0,0,0
104.373,0.0,0,0
104.389,0.0,0,0
104.672,0.0,0,0
107.218,0.0,0,0
105.757,0.0,0,0
106.095,0.0,0,0
108.322,0.0,0,0
104.872,0.0,0,0
107.026,0.0,0,0
104.062,0.0,0,0
105.051,0.0,0,0
110.322,0.0,0,0
104.273,0.0,0,0
104.835,0.0,0,0
104.823,0.0,0,0
104.746,0.0,0,0
105.329,0.0,0,0
104.729,0.0,0,0
104.458,0.0,0,0
106.059,0.0,0,0
105.146,0.0,0,0
109.696,0.0,0,0
106.67,0.0,0,0
105.663,0.0,0,0
105.578,0.0,0,0
106.757,0.0,0,0
107.651,0.0,0,0
108.686,0.0,0,0
104.919,0.0,0,0
105.661,0.0,0,0
105.98,0.0,0,0
105.172,0.0,0,0
104.457,0.0,0,0
104.441,0.0,0,0
111.576,0.0,0,0
104.702,0.0,0,0
105.772,0.0,0,0
104.2,0.0,0,0
104.403,0.0,0,0
105.741,0.0,0,0
104.229,0.0,0,0
104.734,0.0,0,0
105.423,0.0,0,0
105.228,0.0,0,0
105.7,0.0,0,0
105.78,0.0,0,0
105.034,0.0,0,0
106.251,0.0,0,0
