times,gctimes,memory,allocs
4.311874294e6,487833.039,4249728,22974
4.237126961e6,468261.001,4249728,22974
4.228869216e6,469194.444,4249728,22974
4.237064113e6,462860.999,4249728,22974
4.261086839e6,471047.225,4249728,22974
4.260116583e6,463654.018,4249728,22974
4.290015222e6,471661.444,4249728,22974
4.268885903e6,466886.838,4249728,22974
4.261872791e6,462392.505,4249728,22974
4.293936698e6,475213.046,4249728,22974
4.314500809e6,476537.326,4249728,22974
4.294869611e6,466450.734,4249728,22974
4.317978851e6,472076.133,4249728,22974
4.304686441e6,469086.631,4249728,22974
4.287037942e6,469444.649,4249728,22974
4.261145697e6,465147.825,4249728,22974
4.261550035e6,464153.526,4249728,22974
4.288233568e6,468595.157,4249728,22974
4.279205787e6,466930.178,4249728,22974
4.308612889e6,466055.552,4249728,22974
4.314016933e6,471686.981,4249728,22974
4.302062753e6,466689.53,4249728,22974
