times,gctimes,memory,allocs
927.505,0.0,2288,26
920.117,0.0,2288,26
925.605,0.0,2288,26
1001.693,0.0,2288,26
961.443,0.0,2288,26
957.458,0.0,2288,26
918.468,0.0,2288,26
881.506,0.0,2288,26
890.251,0.0,2288,26
898.037,0.0,2288,26
918.868,0.0,2288,26
940.076,0.0,2288,26
915.894,0.0,2288,26
1208.269,0.0,2288,26
1754.533,0.0,2288,26
1718.586,0.0,2288,26
1756.991,0.0,2288,26
1777.011,0.0,2288,26
1765.333,0.0,2288,26
1765.131,0.0,2288,26
1729.835,0.0,2288,26
1858.471,0.0,2288,26
1743.526,0.0,2288,26
1955.67,0.0,2288,26
2013.847,0.0,2288,26
2022.413,0.0,2288,26
2026.289,0.0,2288,26
2023.438,0.0,2288,26
2022.733,0.0,2288,26
2005.461,0.0,2288,26
2136.455,0.0,2288,26
2137.594,0.0,2288,26
2141.518,0.0,2288,26
2153.854,0.0,2288,26
2169.705,0.0,2288,26
2140.699,0.0,2288,26
2128.664,0.0,2288,26
2134.273,0.0,2288,26
2151.421,0.0,2288,26
2128.136,0.0,2288,26
2148.477,0.0,2288,26
2127.292,0.0,2288,26
2129.639,0.0,2288,26
2117.328,0.0,2288,26
2133.359,0.0,2288,26
2121.244,0.0,2288,26
2127.475,0.0,2288,26
2115.414,0.0,2288,26
2116.718,0.0,2288,26
2112.946,0.0,2288,26
2108.685,0.0,2288,26
2101.459,0.0,2288,26
2115.566,0.0,2288,26
2099.776,0.0,2288,26
2195.612,0.0,2288,26
2143.847,0.0,2288,26
24723.033,23271.85,2288,26
891.091,0.0,2288,26
913.248,0.0,2288,26
944.641,0.0,2288,26
975.267,0.0,2288,26
944.143,0.0,2288,26
939.917,0.0,2288,26
918.685,0.0,2288,26
898.993,0.0,2288,26
885.515,0.0,2288,26
872.934,0.0,2288,26
881.963,0.0,2288,26
873.353,0.0,2288,26
903.047,0.0,2288,26
893.984,0.0,2288,26
922.727,0.0,2288,26
877.831,0.0,2288,26
890.04,0.0,2288,26
868.869,0.0,2288,26
856.025,0.0,2288,26
860.9,0.0,2288,26
863.602,0.0,2288,26
878.655,0.0,2288,26
859.251,0.0,2288,26
855.934,0.0,2288,26
842.625,0.0,2288,26
869.284,0.0,2288,26
874.823,0.0,2288,26
842.867,0.0,2288,26
850.526,0.0,2288,26
849.363,0.0,2288,26
859.13,0.0,2288,26
844.259,0.0,2288,26
846.646,0.0,2288,26
844.008,0.0,2288,26
889.774,0.0,2288,26
938.054,0.0,2288,26
1315.669,0.0,2288,26
2112.592,0.0,2288,26
2093.102,0.0,2288,26
2104.462,0.0,2288,26
2154.079,0.0,2288,26
2154.783,0.0,2288,26
2162.563,0.0,2288,26
2157.657,0.0,2288,26
2152.739,0.0,2288,26
2158.704,0.0,2288,26
2146.26,0.0,2288,26
2179.348,0.0,2288,26
2150.999,0.0,2288,26
2136.369,0.0,2288,26
2123.28,0.0,2288,26
2112.418,0.0,2288,26
21252.072,19603.951,2288,26
