times,gctimes,memory,allocs
5350.408,0.0,2368,51
5379.935,0.0,2368,51
5312.388,0.0,2368,51
5325.447,0.0,2368,51
5317.811,0.0,2368,51
5308.85,0.0,2368,51
5294.324,0.0,2368,51
5304.622,0.0,2368,51
5299.061,0.0,2368,51
5353.854,0.0,2368,51
5487.121,0.0,2368,51
5297.843,0.0,2368,51
5419.067,0.0,2368,51
5309.902,0.0,2368,51
5291.639,0.0,2368,51
5295.421,0.0,2368,51
5332.634,0.0,2368,51
5307.243,0.0,2368,51
5333.385,0.0,2368,51
5334.37,0.0,2368,51
5282.541,0.0,2368,51
5284.878,0.0,2368,51
5306.566,0.0,2368,51
5297.907,0.0,2368,51
5420.798,0.0,2368,51
5339.465,0.0,2368,51
5378.235,0.0,2368,51
5388.372,0.0,2368,51
5913.64,0.0,2368,51
6420.821,0.0,2368,51
6416.313,0.0,2368,51
6449.984,0.0,2368,51
6490.497,0.0,2368,51
6564.816,0.0,2368,51
6686.56,0.0,2368,51
6668.374,0.0,2368,51
6688.588,0.0,2368,51
6683.666,0.0,2368,51
6693.474,0.0,2368,51
6798.223,0.0,2368,51
6808.46,0.0,2368,51
6820.956,0.0,2368,51
6789.643,0.0,2368,51
6782.818,0.0,2368,51
6791.211,0.0,2368,51
6777.1,0.0,2368,51
6783.302,0.0,2368,51
6775.598,0.0,2368,51
6787.075,0.0,2368,51
6862.073,0.0,2368,51
6888.404,0.0,2368,51
6857.76,0.0,2368,51
6863.006,0.0,2368,51
6857.499,0.0,2368,51
6846.849,0.0,2368,51
6962.801,0.0,2368,51
7312.088,0.0,2368,51
7310.641,0.0,2368,51
7365.382,0.0,2368,51
33125.196,25794.13,2368,51
5828.322,0.0,2368,51
5545.318,0.0,2368,51
5485.953,0.0,2368,51
5635.446,0.0,2368,51
5847.74,0.0,2368,51
5937.386,0.0,2368,51
5718.221,0.0,2368,51
5674.972,0.0,2368,51
5690.155,0.0,2368,51
5570.97,0.0,2368,51
5737.103,0.0,2368,51
5480.563,0.0,2368,51
5576.932,0.0,2368,51
5580.925,0.0,2368,51
5498.28,0.0,2368,51
5636.039,0.0,2368,51
5538.075,0.0,2368,51
5528.265,0.0,2368,51
5556.463,0.0,2368,51
5502.885,0.0,2368,51
5631.997,0.0,2368,51
5520.724,0.0,2368,51
5494.214,0.0,2368,51
5617.374,0.0,2368,51
5441.018,0.0,2368,51
5440.77,0.0,2368,51
5334.312,0.0,2368,51
5437.317,0.0,2368,51
5340.023,0.0,2368,51
5325.308,0.0,2368,51
5324.075,0.0,2368,51
5336.016,0.0,2368,51
5323.853,0.0,2368,51
5318.879,0.0,2368,51
5370.933,0.0,2368,51
5346.071,0.0,2368,51
5344.715,0.0,2368,51
