times,gctimes,bytes,allocs
6.9625e-5,0.0,213264.0,799.0
6.7542e-5,0.0,212640.0,760.0
6.6458e-5,0.0,213072.0,787.0
6.9458e-5,0.0,213072.0,787.0
6.6584e-5,0.0,212784.0,769.0
6.7291e-5,0.0,213216.0,796.0
6.75e-5,0.0,212992.0,782.0
6.525e-5,0.0,212992.0,782.0
6.579100000000001e-5,0.0,213056.0,786.0
6.7625e-5,0.0,213200.0,795.0
6.579100000000001e-5,0.0,213392.0,807.0
6.770800000000001e-5,0.0,213136.0,791.0
6.3917e-5,0.0,213344.0,804.0
6.366600000000001e-5,0.0,213152.0,792.0
7.2042e-5,0.0,212752.0,767.0
6.7208e-5,0.0,212976.0,781.0
7.3417e-5,0.0,212656.0,761.0
6.4916e-5,0.0,213472.0,812.0
6.6542e-5,0.0,213328.0,803.0
6.483300000000001e-5,0.0,212704.0,764.0
6.925e-5,0.0,213056.0,786.0
6.4417e-5,0.0,212976.0,781.0
6.400000000000001e-5,0.0,213360.0,805.0
6.6958e-5,0.0,212848.0,773.0
6.2916e-5,0.0,213120.0,790.0
6.4792e-5,0.0,212912.0,777.0
7.2666e-5,0.0,213056.0,786.0
6.495800000000001e-5,0.0,213200.0,795.0
6.5292e-5,0.0,213184.0,794.0
6.55e-5,0.0,213328.0,803.0
6.950000000000001e-5,0.0,212736.0,766.0
6.4459e-5,0.0,212640.0,760.0
6.3625e-5,0.0,212944.0,779.0
6.475e-5,0.0,213152.0,792.0
6.483300000000001e-5,0.0,213136.0,791.0
6.5083e-5,0.0,212944.0,779.0
6.433300000000001e-5,0.0,213120.0,790.0
6.4125e-5,0.0,213248.0,798.0
6.4917e-5,0.0,212528.0,753.0
6.495800000000001e-5,0.0,212960.0,780.0
6.3667e-5,0.0,213104.0,789.0
6.5584e-5,0.0,213040.0,785.0
6.475e-5,0.0,212688.0,763.0
6.6458e-5,0.0,212912.0,777.0
6.916700000000001e-5,0.0,213040.0,785.0
6.5333e-5,0.0,213088.0,788.0
6.4792e-5,0.0,212848.0,773.0
6.516700000000001e-5,0.0,212832.0,772.0
7.4208e-5,0.0,212832.0,772.0
6.3458e-5,0.0,212752.0,767.0
7.3584e-5,0.0,212816.0,771.0
6.7959e-5,0.0,212880.0,775.0
6.3584e-5,0.0,212752.0,767.0
