times,gctimes,memory,allocs
218493.0,0.0,212032,726
223757.0,0.0,212032,726
188370.0,0.0,212032,726
184628.0,0.0,212032,726
177317.0,0.0,212032,726
175000.0,0.0,212032,726
182087.0,0.0,212032,726
175833.0,0.0,212032,726
179080.0,0.0,212032,726
176696.0,0.0,212032,726
172668.0,0.0,212032,726
177470.0,0.0,212032,726
190347.0,0.0,212032,726
177910.0,0.0,212032,726
179765.0,0.0,212032,726
176897.0,0.0,212032,726
184218.0,0.0,212032,726
178238.0,0.0,212032,726
174606.0,0.0,212032,726
177658.0,0.0,212032,726
175764.0,0.0,212032,726
176382.0,0.0,212032,726
176436.0,0.0,212032,726
172419.0,0.0,212032,726
178983.0,0.0,212032,726
174426.0,0.0,212032,726
175439.0,0.0,212032,726
175346.0,0.0,212032,726
173980.0,0.0,212032,726
181014.0,0.0,212032,726
177660.0,0.0,212032,726
180416.0,0.0,212032,726
173842.0,0.0,212032,726
179099.0,0.0,212032,726
186242.0,0.0,212032,726
180539.0,0.0,212032,726
180573.0,0.0,212032,726
174903.0,0.0,212032,726
178520.0,0.0,212032,726
175477.0,0.0,212032,726
181119.0,0.0,212032,726
176375.0,0.0,212032,726
176248.0,0.0,212032,726
179573.0,0.0,212032,726
183465.0,0.0,212032,726
174532.0,0.0,212032,726
173391.0,0.0,212032,726
169097.0,0.0,212032,726
175667.0,0.0,212032,726
180573.0,0.0,212032,726
175928.0,0.0,212032,726
173353.0,0.0,212032,726
179645.0,0.0,212032,726
177852.0,0.0,212032,726
171203.0,0.0,212032,726
176076.0,0.0,212032,726
184829.0,0.0,212032,726
172693.0,0.0,212032,726
171804.0,0.0,212032,726
170743.0,0.0,212032,726
165522.0,0.0,212032,726
177324.0,0.0,212032,726
175514.0,0.0,212032,726
182627.0,0.0,212032,726
179897.0,0.0,212032,726
179733.0,0.0,212032,726
176832.0,0.0,212032,726
172555.0,0.0,212032,726
172513.0,0.0,212032,726
179239.0,0.0,212032,726
168691.0,0.0,212032,726
173277.0,0.0,212032,726
178250.0,0.0,212032,726
176701.0,0.0,212032,726
171588.0,0.0,212032,726
174596.0,0.0,212032,726
173402.0,0.0,212032,726
174975.0,0.0,212032,726
172340.0,0.0,212032,726
191576.0,0.0,212032,726
271677.0,0.0,212032,726
284793.0,0.0,212032,726
283221.0,0.0,212032,726
286174.0,0.0,212032,726
284355.0,0.0,212032,726
284151.0,0.0,212032,726
280831.0,0.0,212032,726
283912.0,0.0,212032,726
287110.0,0.0,212032,726
288201.0,0.0,212032,726
279955.0,0.0,212032,726
288374.0,0.0,212032,726
284595.0,0.0,212032,726
290901.0,0.0,212032,726
285282.0,0.0,212032,726
288257.0,0.0,212032,726
289232.0,0.0,212032,726
290503.0,0.0,212032,726
281681.0,0.0,212032,726
289005.0,0.0,212032,726
289479.0,0.0,212032,726
286085.0,0.0,212032,726
279742.0,0.0,212032,726
289431.0,0.0,212032,726
289387.0,0.0,212032,726
277868.0,0.0,212032,726
288261.0,0.0,212032,726
295479.0,0.0,212032,726
286649.0,0.0,212032,726
279651.0,0.0,212032,726
286203.0,0.0,212032,726
289878.0,0.0,212032,726
287383.0,0.0,212032,726
279624.0,0.0,212032,726
288234.0,0.0,212032,726
292458.0,0.0,212032,726
290304.0,0.0,212032,726
283255.0,0.0,212032,726
289003.0,0.0,212032,726
288150.0,0.0,212032,726
291586.0,0.0,212032,726
289180.0,0.0,212032,726
287736.0,0.0,212032,726
285646.0,0.0,212032,726
288168.0,0.0,212032,726
283316.0,0.0,212032,726
291220.0,0.0,212032,726
286108.0,0.0,212032,726
286721.0,0.0,212032,726
284288.0,0.0,212032,726
290406.0,0.0,212032,726
288097.0,0.0,212032,726
286324.0,0.0,212032,726
275135.0,0.0,212032,726
285296.0,0.0,212032,726
291556.0,0.0,212032,726
290065.0,0.0,212032,726
282929.0,0.0,212032,726
284957.0,0.0,212032,726
286115.0,0.0,212032,726
287022.0,0.0,212032,726
280821.0,0.0,212032,726
289147.0,0.0,212032,726
289312.0,0.0,212032,726
288394.0,0.0,212032,726
281754.0,0.0,212032,726
286142.0,0.0,212032,726
286085.0,0.0,212032,726
297546.0,0.0,212032,726
277816.0,0.0,212032,726
286856.0,0.0,212032,726
289877.0,0.0,212032,726
287094.0,0.0,212032,726
282648.0,0.0,212032,726
286540.0,0.0,212032,726
290044.0,0.0,212032,726
287051.0,0.0,212032,726
279226.0,0.0,212032,726
282551.0,0.0,212032,726
290307.0,0.0,212032,726
287923.0,0.0,212032,726
276145.0,0.0,212032,726
289967.0,0.0,212032,726
289109.0,0.0,212032,726
288245.0,0.0,212032,726
282255.0,0.0,212032,726
288673.0,0.0,212032,726
288224.0,0.0,212032,726
280211.0,0.0,212032,726
285525.0,0.0,212032,726
287681.0,0.0,212032,726
289947.0,0.0,212032,726
280248.0,0.0,212032,726
284666.0,0.0,212032,726
286524.0,0.0,212032,726
289152.0,0.0,212032,726
288426.0,0.0,212032,726
289511.0,0.0,212032,726
287180.0,0.0,212032,726
290662.0,0.0,212032,726
281644.0,0.0,212032,726
292628.0,0.0,212032,726
284826.0,0.0,212032,726
291002.0,0.0,212032,726
281198.0,0.0,212032,726
289850.0,0.0,212032,726
287300.0,0.0,212032,726
291429.0,0.0,212032,726
281284.0,0.0,212032,726
287647.0,0.0,212032,726
292633.0,0.0,212032,726
289058.0,0.0,212032,726
281481.0,0.0,212032,726
286019.0,0.0,212032,726
285127.0,0.0,212032,726
289604.0,0.0,212032,726
281744.0,0.0,212032,726
294248.0,0.0,212032,726
289469.0,0.0,212032,726
292368.0,0.0,212032,726
279449.0,0.0,212032,726
284217.0,0.0,212032,726
285113.0,0.0,212032,726
288967.0,0.0,212032,726
286742.0,0.0,212032,726
288530.0,0.0,212032,726
283804.0,0.0,212032,726
289885.0,0.0,212032,726
282761.0,0.0,212032,726
290559.0,0.0,212032,726
287836.0,0.0,212032,726
295912.0,0.0,212032,726
278636.0,0.0,212032,726
290639.0,0.0,212032,726
285866.0,0.0,212032,726
288129.0,0.0,212032,726
280574.0,0.0,212032,726
287689.0,0.0,212032,726
291787.0,0.0,212032,726
290840.0,0.0,212032,726
277475.0,0.0,212032,726
287050.0,0.0,212032,726
283890.0,0.0,212032,726
291209.0,0.0,212032,726
281651.0,0.0,212032,726
286622.0,0.0,212032,726
288117.0,0.0,212032,726
287831.0,0.0,212032,726
279029.0,0.0,212032,726
285467.0,0.0,212032,726
287344.0,0.0,212032,726
282719.0,0.0,212032,726
289984.0,0.0,212032,726
284778.0,0.0,212032,726
289252.0,0.0,212032,726
284869.0,0.0,212032,726
285586.0,0.0,212032,726
286047.0,0.0,212032,726
288042.0,0.0,212032,726
281634.0,0.0,212032,726
286540.0,0.0,212032,726
286721.0,0.0,212032,726
287363.0,0.0,212032,726
279650.0,0.0,212032,726
285281.0,0.0,212032,726
285754.0,0.0,212032,726
295266.0,0.0,212032,726
282671.0,0.0,212032,726
284673.0,0.0,212032,726
285460.0,0.0,212032,726
287460.0,0.0,212032,726
279826.0,0.0,212032,726
284503.0,0.0,212032,726
285725.0,0.0,212032,726
288506.0,0.0,212032,726
278972.0,0.0,212032,726
315455.0,0.0,212032,726
302493.0,0.0,212032,726
302893.0,0.0,212032,726
313256.0,0.0,212032,726
285144.0,0.0,212032,726
285503.0,0.0,212032,726
289078.0,0.0,212032,726
281406.0,0.0,212032,726
286529.0,0.0,212032,726
286586.0,0.0,212032,726
287099.0,0.0,212032,726
283002.0,0.0,212032,726
288207.0,0.0,212032,726
287921.0,0.0,212032,726
285841.0,0.0,212032,726
280377.0,0.0,212032,726
287949.0,0.0,212032,726
289904.0,0.0,212032,726
288189.0,0.0,212032,726
278893.0,0.0,212032,726
285198.0,0.0,212032,726
288367.0,0.0,212032,726
288328.0,0.0,212032,726
283103.0,0.0,212032,726
285263.0,0.0,212032,726
286820.0,0.0,212032,726
288039.0,0.0,212032,726
280041.0,0.0,212032,726
286324.0,0.0,212032,726
286899.0,0.0,212032,726
289201.0,0.0,212032,726
288320.0,0.0,212032,726
285764.0,0.0,212032,726
285636.0,0.0,212032,726
288774.0,0.0,212032,726
277625.0,0.0,212032,726
284410.0,0.0,212032,726
286362.0,0.0,212032,726
276260.0,0.0,212032,726
286995.0,0.0,212032,726
286008.0,0.0,212032,726
289284.0,0.0,212032,726
276811.0,0.0,212032,726
289565.0,0.0,212032,726
284099.0,0.0,212032,726
292653.0,0.0,212032,726
278861.0,0.0,212032,726
289154.0,0.0,212032,726
284748.0,0.0,212032,726
284800.0,0.0,212032,726
275955.0,0.0,212032,726
287797.0,0.0,212032,726
284338.0,0.0,212032,726
288459.0,0.0,212032,726
278241.0,0.0,212032,726
290410.0,0.0,212032,726
284503.0,0.0,212032,726
285941.0,0.0,212032,726
276024.0,0.0,212032,726
291664.0,0.0,212032,726
286464.0,0.0,212032,726
287553.0,0.0,212032,726
278705.0,0.0,212032,726
287963.0,0.0,212032,726
284366.0,0.0,212032,726
284631.0,0.0,212032,726
284304.0,0.0,212032,726
288737.0,0.0,212032,726
286557.0,0.0,212032,726
285792.0,0.0,212032,726
280074.0,0.0,212032,726
287960.0,0.0,212032,726
284220.0,0.0,212032,726
293760.0,0.0,212032,726
281120.0,0.0,212032,726
287559.0,0.0,212032,726
283844.0,0.0,212032,726
292697.0,0.0,212032,726
277728.0,0.0,212032,726
290956.0,0.0,212032,726
284325.0,0.0,212032,726
288187.0,0.0,212032,726
278870.0,0.0,212032,726
287851.0,0.0,212032,726
285479.0,0.0,212032,726
288764.0,0.0,212032,726
280227.0,0.0,212032,726
291189.0,0.0,212032,726
285113.0,0.0,212032,726
287034.0,0.0,212032,726
279544.0,0.0,212032,726
285784.0,0.0,212032,726
285277.0,0.0,212032,726
289687.0,0.0,212032,726
277779.0,0.0,212032,726
289578.0,0.0,212032,726
284260.0,0.0,212032,726
287632.0,0.0,212032,726
278538.0,0.0,212032,726
288516.0,0.0,212032,726
292757.0,0.0,212032,726
291399.0,0.0,212032,726
278623.0,0.0,212032,726
286911.0,0.0,212032,726
289403.0,0.0,212032,726
287727.0,0.0,212032,726
277954.0,0.0,212032,726
294052.0,0.0,212032,726
286487.0,0.0,212032,726
287886.0,0.0,212032,726
281725.0,0.0,212032,726
290583.0,0.0,212032,726
287698.0,0.0,212032,726
288706.0,0.0,212032,726
277863.0,0.0,212032,726
305424.0,0.0,212032,726
288089.0,0.0,212032,726
278713.0,0.0,212032,726
290127.0,0.0,212032,726
288318.0,0.0,212032,726
287072.0,0.0,212032,726
281536.0,0.0,212032,726
286352.0,0.0,212032,726
288241.0,0.0,212032,726
285726.0,0.0,212032,726
279287.0,0.0,212032,726
284758.0,0.0,212032,726
285779.0,0.0,212032,726
291854.0,0.0,212032,726
280344.0,0.0,212032,726
287891.0,0.0,212032,726
288380.0,0.0,212032,726
290063.0,0.0,212032,726
281764.0,0.0,212032,726
288245.0,0.0,212032,726
284758.0,0.0,212032,726
285751.0,0.0,212032,726
277629.0,0.0,212032,726
286050.0,0.0,212032,726
287234.0,0.0,212032,726
286941.0,0.0,212032,726
1.3995481e7,1.3573373e7,212032,726
185579.0,0.0,212032,726
175047.0,0.0,212032,726
178017.0,0.0,212032,726
175104.0,0.0,212032,726
179383.0,0.0,212032,726
172143.0,0.0,212032,726
171511.0,0.0,212032,726
176605.0,0.0,212032,726
177527.0,0.0,212032,726
174099.0,0.0,212032,726
173972.0,0.0,212032,726
176178.0,0.0,212032,726
172816.0,0.0,212032,726
179755.0,0.0,212032,726
183557.0,0.0,212032,726
184633.0,0.0,212032,726
179485.0,0.0,212032,726
182782.0,0.0,212032,726
177802.0,0.0,212032,726
176256.0,0.0,212032,726
175885.0,0.0,212032,726
176640.0,0.0,212032,726
178339.0,0.0,212032,726
175586.0,0.0,212032,726
172844.0,0.0,212032,726
183865.0,0.0,212032,726
174779.0,0.0,212032,726
181399.0,0.0,212032,726
181182.0,0.0,212032,726
179362.0,0.0,212032,726
176393.0,0.0,212032,726
175863.0,0.0,212032,726
172409.0,0.0,212032,726
173925.0,0.0,212032,726
176074.0,0.0,212032,726
172476.0,0.0,212032,726
180049.0,0.0,212032,726
171396.0,0.0,212032,726
176907.0,0.0,212032,726
178797.0,0.0,212032,726
173823.0,0.0,212032,726
170450.0,0.0,212032,726
177092.0,0.0,212032,726
176753.0,0.0,212032,726
170219.0,0.0,212032,726
173073.0,0.0,212032,726
172880.0,0.0,212032,726
171549.0,0.0,212032,726
176405.0,0.0,212032,726
167502.0,0.0,212032,726
170413.0,0.0,212032,726
179181.0,0.0,212032,726
170363.0,0.0,212032,726
175482.0,0.0,212032,726
169829.0,0.0,212032,726
176698.0,0.0,212032,726
177395.0,0.0,212032,726
175054.0,0.0,212032,726
176580.0,0.0,212032,726
176808.0,0.0,212032,726
178202.0,0.0,212032,726
175760.0,0.0,212032,726
179669.0,0.0,212032,726
173978.0,0.0,212032,726
176636.0,0.0,212032,726
174420.0,0.0,212032,726
