times,gctimes,memory,allocs
247968.0,0.0,212144,733
217374.0,0.0,212144,733
184589.0,0.0,212144,733
185720.0,0.0,212144,733
182212.0,0.0,212144,733
180445.0,0.0,212144,733
180387.0,0.0,212144,733
177199.0,0.0,212144,733
177830.0,0.0,212144,733
174544.0,0.0,212144,733
181955.0,0.0,212144,733
175077.0,0.0,212144,733
180811.0,0.0,212144,733
216761.0,0.0,212144,733
187184.0,0.0,212144,733
192974.0,0.0,212144,733
194410.0,0.0,212144,733
191716.0,0.0,212144,733
204274.0,0.0,212144,733
177994.0,0.0,212144,733
175498.0,0.0,212144,733
175584.0,0.0,212144,733
178910.0,0.0,212144,733
180830.0,0.0,212144,733
178484.0,0.0,212144,733
182025.0,0.0,212144,733
175691.0,0.0,212144,733
178362.0,0.0,212144,733
177874.0,0.0,212144,733
177362.0,0.0,212144,733
173942.0,0.0,212144,733
181652.0,0.0,212144,733
171935.0,0.0,212144,733
177985.0,0.0,212144,733
198294.0,0.0,212144,733
197327.0,0.0,212144,733
194002.0,0.0,212144,733
190121.0,0.0,212144,733
191486.0,0.0,212144,733
192499.0,0.0,212144,733
197522.0,0.0,212144,733
180893.0,0.0,212144,733
176271.0,0.0,212144,733
177322.0,0.0,212144,733
169101.0,0.0,212144,733
180250.0,0.0,212144,733
174924.0,0.0,212144,733
174400.0,0.0,212144,733
173891.0,0.0,212144,733
173830.0,0.0,212144,733
177773.0,0.0,212144,733
173488.0,0.0,212144,733
170763.0,0.0,212144,733
175148.0,0.0,212144,733
169152.0,0.0,212144,733
172213.0,0.0,212144,733
200020.0,0.0,212144,733
191782.0,0.0,212144,733
189719.0,0.0,212144,733
192883.0,0.0,212144,733
197054.0,0.0,212144,733
185797.0,0.0,212144,733
189449.0,0.0,212144,733
171373.0,0.0,212144,733
175489.0,0.0,212144,733
179869.0,0.0,212144,733
170728.0,0.0,212144,733
168174.0,0.0,212144,733
176764.0,0.0,212144,733
178730.0,0.0,212144,733
177108.0,0.0,212144,733
175058.0,0.0,212144,733
168829.0,0.0,212144,733
167083.0,0.0,212144,733
174734.0,0.0,212144,733
171218.0,0.0,212144,733
172487.0,0.0,212144,733
172912.0,0.0,212144,733
191283.0,0.0,212144,733
192312.0,0.0,212144,733
185104.0,0.0,212144,733
191187.0,0.0,212144,733
187684.0,0.0,212144,733
188054.0,0.0,212144,733
192759.0,0.0,212144,733
172288.0,0.0,212144,733
170857.0,0.0,212144,733
167750.0,0.0,212144,733
170738.0,0.0,212144,733
175913.0,0.0,212144,733
294781.0,0.0,212144,733
286391.0,0.0,212144,733
288276.0,0.0,212144,733
