times,gctimes,memory,allocs
84417.0,0.0,212064,724
82791.0,0.0,212064,724
66250.0,0.0,212064,724
65458.0,0.0,212064,724
64083.0,0.0,212064,724
62542.0,0.0,212064,724
62792.0,0.0,212064,724
61750.0,0.0,212064,724
71542.0,0.0,212064,724
62250.0,0.0,212064,724
62708.0,0.0,212064,724
62209.0,0.0,212064,724
68459.0,0.0,212064,724
62125.0,0.0,212064,724
62000.0,0.0,212064,724
61750.0,0.0,212064,724
64750.0,0.0,212064,724
61667.0,0.0,212064,724
61875.0,0.0,212064,724
61500.0,0.0,212064,724
61958.0,0.0,212064,724
61666.0,0.0,212064,724
61500.0,0.0,212064,724
61292.0,0.0,212064,724
61708.0,0.0,212064,724
61250.0,0.0,212064,724
61959.0,0.0,212064,724
61625.0,0.0,212064,724
61250.0,0.0,212064,724
61708.0,0.0,212064,724
61458.0,0.0,212064,724
62125.0,0.0,212064,724
61750.0,0.0,212064,724
71583.0,0.0,212064,724
62584.0,0.0,212064,724
65416.0,0.0,212064,724
63083.0,0.0,212064,724
69958.0,0.0,212064,724
61834.0,0.0,212064,724
61333.0,0.0,212064,724
61375.0,0.0,212064,724
61417.0,0.0,212064,724
61250.0,0.0,212064,724
96125.0,0.0,212064,724
71333.0,0.0,212064,724
69084.0,0.0,212064,724
71125.0,0.0,212064,724
69875.0,0.0,212064,724
72833.0,0.0,212064,724
77250.0,0.0,212064,724
71584.0,0.0,212064,724
70917.0,0.0,212064,724
68833.0,0.0,212064,724
76417.0,0.0,212064,724
71208.0,0.0,212064,724
73333.0,0.0,212064,724
67833.0,0.0,212064,724
68041.0,0.0,212064,724
70625.0,0.0,212064,724
68833.0,0.0,212064,724
81542.0,0.0,212064,724
66625.0,0.0,212064,724
66209.0,0.0,212064,724
66667.0,0.0,212064,724
68416.0,0.0,212064,724
68541.0,0.0,212064,724
66625.0,0.0,212064,724
68250.0,0.0,212064,724
70792.0,0.0,212064,724
80375.0,0.0,212064,724
76042.0,0.0,212064,724
71125.0,0.0,212064,724
78916.0,0.0,212064,724
69625.0,0.0,212064,724
72292.0,0.0,212064,724
70000.0,0.0,212064,724
70416.0,0.0,212064,724
68792.0,0.0,212064,724
69458.0,0.0,212064,724
68125.0,0.0,212064,724
70250.0,0.0,212064,724
71291.0,0.0,212064,724
78042.0,0.0,212064,724
71833.0,0.0,212064,724
70166.0,0.0,212064,724
69333.0,0.0,212064,724
79583.0,0.0,212064,724
78500.0,0.0,212064,724
73042.0,0.0,212064,724
73834.0,0.0,212064,724
71209.0,0.0,212064,724
82250.0,0.0,212064,724
68458.0,0.0,212064,724
68667.0,0.0,212064,724
70917.0,0.0,212064,724
68666.0,0.0,212064,724
68208.0,0.0,212064,724
68917.0,0.0,212064,724
68959.0,0.0,212064,724
69584.0,0.0,212064,724
69125.0,0.0,212064,724
73834.0,0.0,212064,724
80666.0,0.0,212064,724
68959.0,0.0,212064,724
68875.0,0.0,212064,724
68708.0,0.0,212064,724
69000.0,0.0,212064,724
68791.0,0.0,212064,724
69083.0,0.0,212064,724
68042.0,0.0,212064,724
72792.0,0.0,212064,724
68625.0,0.0,212064,724
68500.0,0.0,212064,724
80459.0,0.0,212064,724
70375.0,0.0,212064,724
70292.0,0.0,212064,724
70667.0,0.0,212064,724
77625.0,0.0,212064,724
70209.0,0.0,212064,724
70000.0,0.0,212064,724
70459.0,0.0,212064,724
69875.0,0.0,212064,724
71708.0,0.0,212064,724
73334.0,0.0,212064,724
71208.0,0.0,212064,724
71000.0,0.0,212064,724
70791.0,0.0,212064,724
70709.0,0.0,212064,724
71209.0,0.0,212064,724
76125.0,0.0,212064,724
73542.0,0.0,212064,724
76458.0,0.0,212064,724
69375.0,0.0,212064,724
72708.0,0.0,212064,724
69291.0,0.0,212064,724
79542.0,0.0,212064,724
67666.0,0.0,212064,724
68333.0,0.0,212064,724
68000.0,0.0,212064,724
70417.0,0.0,212064,724
72291.0,0.0,212064,724
72583.0,0.0,212064,724
70208.0,0.0,212064,724
70875.0,0.0,212064,724
73125.0,0.0,212064,724
70167.0,0.0,212064,724
68167.0,0.0,212064,724
76875.0,0.0,212064,724
69167.0,0.0,212064,724
70791.0,0.0,212064,724
72083.0,0.0,212064,724
101792.0,0.0,212064,724
77000.0,0.0,212064,724
71833.0,0.0,212064,724
75000.0,0.0,212064,724
75166.0,0.0,212064,724
75291.0,0.0,212064,724
71542.0,0.0,212064,724
79417.0,0.0,212064,724
70708.0,0.0,212064,724
101917.0,0.0,212064,724
71042.0,0.0,212064,724
76583.0,0.0,212064,724
74416.0,0.0,212064,724
71833.0,0.0,212064,724
71625.0,0.0,212064,724
70750.0,0.0,212064,724
73458.0,0.0,212064,724
72667.0,0.0,212064,724
74084.0,0.0,212064,724
71042.0,0.0,212064,724
72958.0,0.0,212064,724
78083.0,0.0,212064,724
76375.0,0.0,212064,724
84666.0,0.0,212064,724
74084.0,0.0,212064,724
75125.0,0.0,212064,724
74667.0,0.0,212064,724
73417.0,0.0,212064,724
76667.0,0.0,212064,724
73291.0,0.0,212064,724
78750.0,0.0,212064,724
74250.0,0.0,212064,724
70709.0,0.0,212064,724
71459.0,0.0,212064,724
74708.0,0.0,212064,724
70958.0,0.0,212064,724
71000.0,0.0,212064,724
71708.0,0.0,212064,724
77042.0,0.0,212064,724
74625.0,0.0,212064,724
72250.0,0.0,212064,724
72875.0,0.0,212064,724
80916.0,0.0,212064,724
79375.0,0.0,212064,724
77084.0,0.0,212064,724
73459.0,0.0,212064,724
72958.0,0.0,212064,724
74500.0,0.0,212064,724
71208.0,0.0,212064,724
70625.0,0.0,212064,724
71375.0,0.0,212064,724
74916.0,0.0,212064,724
70500.0,0.0,212064,724
70500.0,0.0,212064,724
70583.0,0.0,212064,724
71292.0,0.0,212064,724
70958.0,0.0,212064,724
73208.0,0.0,212064,724
70584.0,0.0,212064,724
73041.0,0.0,212064,724
74334.0,0.0,212064,724
70875.0,0.0,212064,724
70625.0,0.0,212064,724
71000.0,0.0,212064,724
78458.0,0.0,212064,724
72542.0,0.0,212064,724
82750.0,0.0,212064,724
74042.0,0.0,212064,724
71417.0,0.0,212064,724
82042.0,0.0,212064,724
73583.0,0.0,212064,724
73875.0,0.0,212064,724
85875.0,0.0,212064,724
73750.0,0.0,212064,724
70750.0,0.0,212064,724
70583.0,0.0,212064,724
72208.0,0.0,212064,724
72375.0,0.0,212064,724
71209.0,0.0,212064,724
70917.0,0.0,212064,724
71417.0,0.0,212064,724
79667.0,0.0,212064,724
73666.0,0.0,212064,724
71042.0,0.0,212064,724
71500.0,0.0,212064,724
87125.0,0.0,212064,724
71083.0,0.0,212064,724
74375.0,0.0,212064,724
72500.0,0.0,212064,724
72459.0,0.0,212064,724
71125.0,0.0,212064,724
70792.0,0.0,212064,724
71625.0,0.0,212064,724
85542.0,0.0,212064,724
77875.0,0.0,212064,724
81000.0,0.0,212064,724
75000.0,0.0,212064,724
75584.0,0.0,212064,724
77041.0,0.0,212064,724
78500.0,0.0,212064,724
71917.0,0.0,212064,724
74750.0,0.0,212064,724
81583.0,0.0,212064,724
73417.0,0.0,212064,724
72709.0,0.0,212064,724
70959.0,0.0,212064,724
70375.0,0.0,212064,724
80917.0,0.0,212064,724
74375.0,0.0,212064,724
76375.0,0.0,212064,724
73834.0,0.0,212064,724
72667.0,0.0,212064,724
70916.0,0.0,212064,724
70417.0,0.0,212064,724
76916.0,0.0,212064,724
71250.0,0.0,212064,724
70541.0,0.0,212064,724
81292.0,0.0,212064,724
73458.0,0.0,212064,724
73958.0,0.0,212064,724
71583.0,0.0,212064,724
78708.0,0.0,212064,724
70708.0,0.0,212064,724
70459.0,0.0,212064,724
