times,gctimes,memory,allocs
170803.0,0.0,136912,35
158710.0,0.0,136912,35
145269.0,0.0,136912,35
124429.0,0.0,136912,35
136598.0,0.0,136912,35
134363.0,0.0,136912,35
136284.0,0.0,136912,35
145228.0,0.0,136912,35
121186.0,0.0,136912,35
148221.0,0.0,136912,35
136455.0,0.0,136912,35
151116.0,0.0,136912,35
131083.0,0.0,136912,35
135174.0,0.0,136912,35
133917.0,0.0,136912,35
143383.0,0.0,136912,35
150628.0,0.0,136912,35
145429.0,0.0,136912,35
143270.0,0.0,136912,35
166234.0,0.0,136912,35
147139.0,0.0,136912,35
136381.0,0.0,136912,35
129660.0,0.0,136912,35
143272.0,0.0,136912,35
153977.0,0.0,136912,35
147832.0,0.0,136912,35
134227.0,0.0,136912,35
128711.0,0.0,136912,35
139184.0,0.0,136912,35
149135.0,0.0,136912,35
147667.0,0.0,136912,35
154509.0,0.0,136912,35
143342.0,0.0,136912,35
148577.0,0.0,136912,35
148828.0,0.0,136912,35
160735.0,0.0,136912,35
158635.0,0.0,136912,35
142160.0,0.0,136912,35
142126.0,0.0,136912,35
144164.0,0.0,136912,35
148482.0,0.0,136912,35
146313.0,0.0,136912,35
157626.0,0.0,136912,35
150272.0,0.0,136912,35
144719.0,0.0,136912,35
155748.0,0.0,136912,35
141826.0,0.0,136912,35
150911.0,0.0,136912,35
145974.0,0.0,136912,35
144805.0,0.0,136912,35
138956.0,0.0,136912,35
122693.0,0.0,136912,35
98754.0,0.0,136912,35
125715.0,0.0,136912,35
141190.0,0.0,136912,35
143341.0,0.0,136912,35
154770.0,0.0,136912,35
142475.0,0.0,136912,35
141377.0,0.0,136912,35
148113.0,0.0,136912,35
143201.0,0.0,136912,35
142566.0,0.0,136912,35
156761.0,0.0,136912,35
144829.0,0.0,136912,35
140751.0,0.0,136912,35
141175.0,0.0,136912,35
98867.0,0.0,136912,35
98331.0,0.0,136912,35
132577.0,0.0,136912,35
141769.0,0.0,136912,35
142403.0,0.0,136912,35
140181.0,0.0,136912,35
149465.0,0.0,136912,35
143054.0,0.0,136912,35
148473.0,0.0,136912,35
151600.0,0.0,136912,35
150535.0,0.0,136912,35
150145.0,0.0,136912,35
146297.0,0.0,136912,35
150207.0,0.0,136912,35
146386.0,0.0,136912,35
142767.0,0.0,136912,35
144437.0,0.0,136912,35
145085.0,0.0,136912,35
148433.0,0.0,136912,35
152559.0,0.0,136912,35
149438.0,0.0,136912,35
146819.0,0.0,136912,35
162601.0,0.0,136912,35
159959.0,0.0,136912,35
151496.0,0.0,136912,35
146330.0,0.0,136912,35
146993.0,0.0,136912,35
145018.0,0.0,136912,35
147563.0,0.0,136912,35
146765.0,0.0,136912,35
139387.0,0.0,136912,35
150229.0,0.0,136912,35
145562.0,0.0,136912,35
146994.0,0.0,136912,35
143416.0,0.0,136912,35
143645.0,0.0,136912,35
144017.0,0.0,136912,35
149078.0,0.0,136912,35
143207.0,0.0,136912,35
149944.0,0.0,136912,35
146612.0,0.0,136912,35
146512.0,0.0,136912,35
179347.0,0.0,136912,35
177280.0,0.0,136912,35
170505.0,0.0,136912,35
176698.0,0.0,136912,35
177026.0,0.0,136912,35
173617.0,0.0,136912,35
177053.0,0.0,136912,35
182549.0,0.0,136912,35
179594.0,0.0,136912,35
179485.0,0.0,136912,35
177939.0,0.0,136912,35
178621.0,0.0,136912,35
177775.0,0.0,136912,35
176976.0,0.0,136912,35
180791.0,0.0,136912,35
174879.0,0.0,136912,35
179688.0,0.0,136912,35
177129.0,0.0,136912,35
175315.0,0.0,136912,35
181493.0,0.0,136912,35
173522.0,0.0,136912,35
175518.0,0.0,136912,35
179305.0,0.0,136912,35
184387.0,0.0,136912,35
174817.0,0.0,136912,35
181856.0,0.0,136912,35
177136.0,0.0,136912,35
186705.0,0.0,136912,35
170816.0,0.0,136912,35
187207.0,0.0,136912,35
178186.0,0.0,136912,35
187037.0,0.0,136912,35
179083.0,0.0,136912,35
179615.0,0.0,136912,35
174047.0,0.0,136912,35
183214.0,0.0,136912,35
173083.0,0.0,136912,35
178178.0,0.0,136912,35
174872.0,0.0,136912,35
181320.0,0.0,136912,35
177978.0,0.0,136912,35
178709.0,0.0,136912,35
174675.0,0.0,136912,35
185398.0,0.0,136912,35
173393.0,0.0,136912,35
181990.0,0.0,136912,35
174432.0,0.0,136912,35
180463.0,0.0,136912,35
173940.0,0.0,136912,35
183475.0,0.0,136912,35
169390.0,0.0,136912,35
184386.0,0.0,136912,35
173768.0,0.0,136912,35
177841.0,0.0,136912,35
171459.0,0.0,136912,35
184488.0,0.0,136912,35
177748.0,0.0,136912,35
180746.0,0.0,136912,35
175842.0,0.0,136912,35
187481.0,0.0,136912,35
173689.0,0.0,136912,35
181768.0,0.0,136912,35
176396.0,0.0,136912,35
180813.0,0.0,136912,35
174675.0,0.0,136912,35
181812.0,0.0,136912,35
176089.0,0.0,136912,35
186724.0,0.0,136912,35
173377.0,0.0,136912,35
168978.0,0.0,136912,35
178636.0,0.0,136912,35
178532.0,0.0,136912,35
183441.0,0.0,136912,35
178235.0,0.0,136912,35
180297.0,0.0,136912,35
180050.0,0.0,136912,35
177503.0,0.0,136912,35
173247.0,0.0,136912,35
180342.0,0.0,136912,35
175372.0,0.0,136912,35
182042.0,0.0,136912,35
172327.0,0.0,136912,35
182126.0,0.0,136912,35
175125.0,0.0,136912,35
180045.0,0.0,136912,35
168716.0,0.0,136912,35
181984.0,0.0,136912,35
173443.0,0.0,136912,35
183427.0,0.0,136912,35
179815.0,0.0,136912,35
174098.0,0.0,136912,35
193611.0,0.0,136912,35
174882.0,0.0,136912,35
181232.0,0.0,136912,35
176438.0,0.0,136912,35
181227.0,0.0,136912,35
176768.0,0.0,136912,35
182225.0,0.0,136912,35
176737.0,0.0,136912,35
182067.0,0.0,136912,35
176905.0,0.0,136912,35
183427.0,0.0,136912,35
173250.0,0.0,136912,35
184165.0,0.0,136912,35
179122.0,0.0,136912,35
179897.0,0.0,136912,35
184478.0,0.0,136912,35
175864.0,0.0,136912,35
180537.0,0.0,136912,35
175772.0,0.0,136912,35
185217.0,0.0,136912,35
175452.0,0.0,136912,35
181444.0,0.0,136912,35
173840.0,0.0,136912,35
182805.0,0.0,136912,35
178328.0,0.0,136912,35
181900.0,0.0,136912,35
176091.0,0.0,136912,35
184785.0,0.0,136912,35
172401.0,0.0,136912,35
182775.0,0.0,136912,35
183394.0,0.0,136912,35
175748.0,0.0,136912,35
180676.0,0.0,136912,35
173999.0,0.0,136912,35
181508.0,0.0,136912,35
177729.0,0.0,136912,35
181962.0,0.0,136912,35
173674.0,0.0,136912,35
183791.0,0.0,136912,35
172842.0,0.0,136912,35
180350.0,0.0,136912,35
178388.0,0.0,136912,35
181660.0,0.0,136912,35
173361.0,0.0,136912,35
182236.0,0.0,136912,35
180328.0,0.0,136912,35
175603.0,0.0,136912,35
186277.0,0.0,136912,35
176156.0,0.0,136912,35
185612.0,0.0,136912,35
177794.0,0.0,136912,35
181853.0,0.0,136912,35
178994.0,0.0,136912,35
180046.0,0.0,136912,35
172771.0,0.0,136912,35
184006.0,0.0,136912,35
174639.0,0.0,136912,35
180808.0,0.0,136912,35
178938.0,0.0,136912,35
181281.0,0.0,136912,35
174216.0,0.0,136912,35
183744.0,0.0,136912,35
180717.0,0.0,136912,35
176690.0,0.0,136912,35
182910.0,0.0,136912,35
173142.0,0.0,136912,35
179782.0,0.0,136912,35
176221.0,0.0,136912,35
181007.0,0.0,136912,35
176249.0,0.0,136912,35
182375.0,0.0,136912,35
176442.0,0.0,136912,35
182867.0,0.0,136912,35
175592.0,0.0,136912,35
181845.0,0.0,136912,35
173135.0,0.0,136912,35
185129.0,0.0,136912,35
181235.0,0.0,136912,35
173518.0,0.0,136912,35
181509.0,0.0,136912,35
178501.0,0.0,136912,35
180078.0,0.0,136912,35
175697.0,0.0,136912,35
180526.0,0.0,136912,35
210664.0,0.0,136912,35
182734.0,0.0,136912,35
173784.0,0.0,136912,35
182132.0,0.0,136912,35
172794.0,0.0,136912,35
181179.0,0.0,136912,35
176149.0,0.0,136912,35
183238.0,0.0,136912,35
182907.0,0.0,136912,35
182022.0,0.0,136912,35
179272.0,0.0,136912,35
173419.0,0.0,136912,35
186050.0,0.0,136912,35
177284.0,0.0,136912,35
180306.0,0.0,136912,35
174820.0,0.0,136912,35
181030.0,0.0,136912,35
173876.0,0.0,136912,35
185729.0,0.0,136912,35
173582.0,0.0,136912,35
181851.0,0.0,136912,35
177845.0,0.0,136912,35
181281.0,0.0,136912,35
180113.0,0.0,136912,35
181674.0,0.0,136912,35
178872.0,0.0,136912,35
173932.0,0.0,136912,35
182962.0,0.0,136912,35
174612.0,0.0,136912,35
182029.0,0.0,136912,35
176632.0,0.0,136912,35
184017.0,0.0,136912,35
176332.0,0.0,136912,35
179992.0,0.0,136912,35
174609.0,0.0,136912,35
185171.0,0.0,136912,35
172680.0,0.0,136912,35
180035.0,0.0,136912,35
183962.0,0.0,136912,35
174852.0,0.0,136912,35
185727.0,0.0,136912,35
176521.0,0.0,136912,35
180283.0,0.0,136912,35
173386.0,0.0,136912,35
182160.0,0.0,136912,35
174279.0,0.0,136912,35
182401.0,0.0,136912,35
176690.0,0.0,136912,35
181367.0,0.0,136912,35
173233.0,0.0,136912,35
182366.0,0.0,136912,35
177423.0,0.0,136912,35
180766.0,0.0,136912,35
186391.0,0.0,136912,35
173820.0,0.0,136912,35
180497.0,0.0,136912,35
177298.0,0.0,136912,35
183174.0,0.0,136912,35
173016.0,0.0,136912,35
183876.0,0.0,136912,35
174365.0,0.0,136912,35
181924.0,0.0,136912,35
176102.0,0.0,136912,35
184410.0,0.0,136912,35
175894.0,0.0,136912,35
179734.0,0.0,136912,35
173604.0,0.0,136912,35
182665.0,0.0,136912,35
182951.0,0.0,136912,35
172492.0,0.0,136912,35
184403.0,0.0,136912,35
174134.0,0.0,136912,35
182921.0,0.0,136912,35
177897.0,0.0,136912,35
181830.0,0.0,136912,35
178141.0,0.0,136912,35
186086.0,0.0,136912,35
173963.0,0.0,136912,35
180033.0,0.0,136912,35
177966.0,0.0,136912,35
182667.0,0.0,136912,35
173407.0,0.0,136912,35
181081.0,0.0,136912,35
172481.0,0.0,136912,35
181123.0,0.0,136912,35
188195.0,0.0,136912,35
173426.0,0.0,136912,35
178814.0,0.0,136912,35
177181.0,0.0,136912,35
181293.0,0.0,136912,35
175417.0,0.0,136912,35
182499.0,0.0,136912,35
172654.0,0.0,136912,35
181373.0,0.0,136912,35
175620.0,0.0,136912,35
180456.0,0.0,136912,35
179262.0,0.0,136912,35
187332.0,0.0,136912,35
173506.0,0.0,136912,35
182803.0,0.0,136912,35
180458.0,0.0,136912,35
176913.0,0.0,136912,35
183127.0,0.0,136912,35
173676.0,0.0,136912,35
181767.0,0.0,136912,35
175982.0,0.0,136912,35
241363.0,0.0,136912,35
180006.0,0.0,136912,35
182652.0,0.0,136912,35
175334.0,0.0,136912,35
182104.0,0.0,136912,35
176486.0,0.0,136912,35
181683.0,0.0,136912,35
175639.0,0.0,136912,35
184132.0,0.0,136912,35
178692.0,0.0,136912,35
175370.0,0.0,136912,35
182983.0,0.0,136912,35
176310.0,0.0,136912,35
199670.0,0.0,136912,35
179781.0,0.0,136912,35
183070.0,0.0,136912,35
173084.0,0.0,136912,35
183212.0,0.0,136912,35
175633.0,0.0,136912,35
179858.0,0.0,136912,35
175374.0,0.0,136912,35
182317.0,0.0,136912,35
176715.0,0.0,136912,35
182751.0,0.0,136912,35
180246.0,0.0,136912,35
178363.0,0.0,136912,35
180599.0,0.0,136912,35
176189.0,0.0,136912,35
182297.0,0.0,136912,35
176352.0,0.0,136912,35
181411.0,0.0,136912,35
175699.0,0.0,136912,35
180176.0,0.0,136912,35
174122.0,0.0,136912,35
184065.0,0.0,136912,35
200438.0,0.0,136912,35
181160.0,0.0,136912,35
177285.0,0.0,136912,35
181615.0,0.0,136912,35
182267.0,0.0,136912,35
179072.0,0.0,136912,35
182322.0,0.0,136912,35
173502.0,0.0,136912,35
183042.0,0.0,136912,35
171948.0,0.0,136912,35
184687.0,0.0,136912,35
176895.0,0.0,136912,35
179478.0,0.0,136912,35
172933.0,0.0,136912,35
182935.0,0.0,136912,35
174709.0,0.0,136912,35
182520.0,0.0,136912,35
183703.0,0.0,136912,35
173368.0,0.0,136912,35
183769.0,0.0,136912,35
174261.0,0.0,136912,35
181142.0,0.0,136912,35
190570.0,0.0,136912,35
180820.0,0.0,136912,35
173724.0,0.0,136912,35
182593.0,0.0,136912,35
190764.0,0.0,136912,35
194340.0,0.0,136912,35
188485.0,0.0,136912,35
181270.0,0.0,136912,35
173892.0,0.0,136912,35
209308.0,0.0,136912,35
189264.0,0.0,136912,35
188014.0,0.0,136912,35
192884.0,0.0,136912,35
186490.0,0.0,136912,35
192452.0,0.0,136912,35
186972.0,0.0,136912,35
200865.0,0.0,136912,35
175175.0,0.0,136912,35
182568.0,0.0,136912,35
176188.0,0.0,136912,35
