times,gctimes,bytes,allocs
7.850000000000001e-5,0.0,212928.0,778.0
6.4875e-5,0.0,213184.0,794.0
6.354100000000001e-5,0.0,213088.0,788.0
6.287500000000001e-5,0.0,212672.0,762.0
6.400000000000001e-5,0.0,213152.0,792.0
6.562500000000001e-5,0.0,212800.0,770.0
6.425e-5,0.0,212880.0,775.0
6.5083e-5,0.0,213088.0,788.0
6.354100000000001e-5,0.0,213568.0,818.0
6.4708e-5,0.0,213024.0,784.0
6.475e-5,0.0,213184.0,794.0
6.483300000000001e-5,0.0,212752.0,767.0
6.900000000000001e-5,0.0,212592.0,757.0
6.354100000000001e-5,0.0,213248.0,798.0
6.3667e-5,0.0,213200.0,795.0
6.500000000000001e-5,0.0,213120.0,790.0
6.416600000000001e-5,0.0,212816.0,771.0
6.4208e-5,0.0,213216.0,796.0
6.4625e-5,0.0,213296.0,801.0
6.3583e-5,0.0,212960.0,780.0
6.4542e-5,0.0,213088.0,788.0
6.4292e-5,0.0,212912.0,777.0
6.4916e-5,0.0,213152.0,792.0
6.2791e-5,0.0,213088.0,788.0
6.4167e-5,0.0,213088.0,788.0
6.5584e-5,0.0,213216.0,796.0
6.612500000000001e-5,0.0,212768.0,768.0
6.820800000000001e-5,0.0,212800.0,770.0
6.366600000000001e-5,0.0,213616.0,821.0
0.000573458,0.8741564334266851,213088.0,788.0
5.7708000000000004e-5,0.0,213056.0,786.0
5.7666000000000007e-5,0.0,212816.0,771.0
5.8083000000000006e-5,0.0,212976.0,781.0
5.783300000000001e-5,0.0,213008.0,783.0
5.783300000000001e-5,0.0,212848.0,773.0
5.7583e-5,0.0,213120.0,790.0
6.0542000000000004e-5,0.0,212896.0,776.0
6.5833e-5,0.0,213216.0,796.0
6.562500000000001e-5,0.0,213168.0,793.0
6.3292e-5,0.0,212800.0,770.0
6.4875e-5,0.0,212992.0,782.0
6.475e-5,0.0,212912.0,777.0
6.4458e-5,0.0,212592.0,757.0
6.3584e-5,0.0,212704.0,764.0
6.420900000000001e-5,0.0,213232.0,797.0
6.5292e-5,0.0,213152.0,792.0
6.3459e-5,0.0,213264.0,799.0
6.425e-5,0.0,212864.0,774.0
6.4375e-5,0.0,212928.0,778.0
6.4375e-5,0.0,212480.0,750.0
6.3958e-5,0.0,212768.0,768.0
6.6166e-5,0.0,213520.0,815.0
6.658300000000001e-5,0.0,213232.0,797.0
6.7625e-5,0.0,213184.0,794.0
6.4542e-5,0.0,213088.0,788.0
6.375e-5,0.0,212816.0,771.0
6.4916e-5,0.0,212848.0,773.0
6.3291e-5,0.0,213536.0,816.0
6.5541e-5,0.0,212736.0,766.0
6.529100000000001e-5,0.0,213216.0,796.0
6.270800000000001e-5,0.0,213184.0,794.0
6.3291e-5,0.0,213168.0,793.0
6.383300000000001e-5,0.0,213280.0,800.0
6.3166e-5,0.0,212928.0,778.0
6.3166e-5,0.0,212960.0,780.0
6.5917e-5,0.0,212704.0,764.0
8.450000000000001e-5,0.0,213360.0,805.0
6.9292e-5,0.0,212960.0,780.0
6.495800000000001e-5,0.0,213376.0,806.0
6.3583e-5,0.0,213104.0,789.0
6.525e-5,0.0,213104.0,789.0
6.3917e-5,0.0,213168.0,793.0
6.425e-5,0.0,212816.0,771.0
6.370800000000001e-5,0.0,213088.0,788.0
6.4041e-5,0.0,212736.0,766.0
6.425e-5,0.0,213040.0,785.0
6.5209e-5,0.0,213072.0,787.0
0.000574292,0.8765854304082243,213104.0,789.0
5.8e-5,0.0,212832.0,772.0
5.8542e-5,0.0,212896.0,776.0
5.8208e-5,0.0,213280.0,800.0
5.8167e-5,0.0,212944.0,779.0
5.8e-5,0.0,212896.0,776.0
5.7875000000000004e-5,0.0,212880.0,775.0
5.8500000000000006e-5,0.0,213328.0,803.0
6.4375e-5,0.0,212800.0,770.0
6.4792e-5,0.0,213040.0,785.0
6.370900000000001e-5,0.0,213024.0,784.0
6.870900000000001e-5,0.0,213504.0,814.0
6.7542e-5,0.0,213376.0,806.0
6.370900000000001e-5,0.0,212928.0,778.0
6.3792e-5,0.0,212832.0,772.0
6.404200000000001e-5,0.0,212784.0,769.0
6.354200000000001e-5,0.0,212768.0,768.0
6.425e-5,0.0,212752.0,767.0
6.370800000000001e-5,0.0,213312.0,802.0
6.479100000000001e-5,0.0,213088.0,788.0
6.500000000000001e-5,0.0,213232.0,797.0
6.2916e-5,0.0,213184.0,794.0
6.3e-5,0.0,213136.0,791.0
6.2667e-5,0.0,213344.0,804.0
6.4208e-5,0.0,212912.0,777.0
6.675000000000001e-5,0.0,212512.0,752.0
6.55e-5,0.0,213312.0,802.0
6.6834e-5,0.0,212800.0,770.0
6.3083e-5,0.0,213488.0,813.0
6.450000000000001e-5,0.0,212800.0,770.0
6.450000000000001e-5,0.0,212992.0,782.0
6.387500000000001e-5,0.0,213216.0,796.0
6.366600000000001e-5,0.0,212960.0,780.0
6.4708e-5,0.0,212928.0,778.0
6.4708e-5,0.0,212992.0,782.0
6.8125e-5,0.0,212864.0,774.0
6.7625e-5,0.0,213152.0,792.0
7.3292e-5,0.0,213184.0,794.0
6.450000000000001e-5,0.0,212880.0,775.0
6.337500000000001e-5,0.0,213136.0,791.0
6.4084e-5,0.0,213104.0,789.0
6.3125e-5,0.0,213088.0,788.0
8.529200000000001e-5,0.0,213408.0,808.0
6.475e-5,0.0,212992.0,782.0
6.2625e-5,0.0,213296.0,801.0
6.3667e-5,0.0,213168.0,793.0
6.325e-5,0.0,212704.0,764.0
0.0005886250000000001,0.8666383520917392,212960.0,780.0
5.8208e-5,0.0,212864.0,774.0
5.725e-5,0.0,213216.0,796.0
5.8083000000000006e-5,0.0,212928.0,778.0
5.7458000000000005e-5,0.0,213120.0,790.0
5.7625000000000005e-5,0.0,212656.0,761.0
5.7916000000000006e-5,0.0,212960.0,780.0
5.7958e-5,0.0,212864.0,774.0
6.3416e-5,0.0,212800.0,770.0
6.387500000000001e-5,0.0,213008.0,783.0
6.3959e-5,0.0,213184.0,794.0
6.400000000000001e-5,0.0,213088.0,788.0
6.3667e-5,0.0,213152.0,792.0
6.3584e-5,0.0,213504.0,814.0
6.545800000000001e-5,0.0,212784.0,769.0
6.5417e-5,0.0,213152.0,792.0
6.4084e-5,0.0,213168.0,793.0
7.1e-5,0.0,212832.0,772.0
6.725000000000001e-5,0.0,213152.0,792.0
6.6e-5,0.0,213232.0,797.0
6.7333e-5,0.0,212880.0,775.0
6.562500000000001e-5,0.0,213040.0,785.0
6.675000000000001e-5,0.0,213056.0,786.0
6.595800000000001e-5,0.0,213056.0,786.0
6.900000000000001e-5,0.0,212560.0,755.0
6.7625e-5,0.0,212880.0,775.0
6.8083e-5,0.0,213584.0,819.0
6.4708e-5,0.0,213024.0,784.0
6.366600000000001e-5,0.0,213104.0,789.0
6.4125e-5,0.0,212976.0,781.0
6.529100000000001e-5,0.0,213184.0,794.0
6.5042e-5,0.0,212880.0,775.0
6.3334e-5,0.0,212960.0,780.0
6.162500000000001e-5,0.0,213184.0,794.0
6.9292e-5,0.0,212880.0,775.0
6.3916e-5,0.0,213024.0,784.0
6.5417e-5,0.0,212976.0,781.0
6.2625e-5,0.0,212960.0,780.0
6.433300000000001e-5,0.0,212800.0,770.0
7.2667e-5,0.0,213200.0,795.0
6.4375e-5,0.0,213120.0,790.0
6.5709e-5,0.0,212896.0,776.0
6.275000000000001e-5,0.0,213280.0,800.0
6.4458e-5,0.0,213504.0,814.0
6.287500000000001e-5,0.0,212880.0,775.0
6.3417e-5,0.0,213344.0,804.0
6.5875e-5,0.0,213360.0,805.0
6.8417e-5,0.0,213136.0,791.0
0.0005445420000000001,0.8700724645665532,213184.0,794.0
5.8875e-5,0.0,212800.0,770.0
5.8208e-5,0.0,213504.0,814.0
5.8625e-5,0.0,212784.0,769.0
5.8667000000000006e-5,0.0,213088.0,788.0
5.8416000000000004e-5,0.0,212880.0,775.0
5.8458e-5,0.0,213024.0,784.0
5.8166000000000005e-5,0.0,213056.0,786.0
6.1375e-5,0.0,213248.0,798.0
6.5416e-5,0.0,212624.0,759.0
6.8625e-5,0.0,213200.0,795.0
7.0667e-5,0.0,213120.0,790.0
6.6791e-5,0.0,213232.0,797.0
6.579100000000001e-5,0.0,212960.0,780.0
6.6833e-5,0.0,213520.0,815.0
6.400000000000001e-5,0.0,212960.0,780.0
6.5125e-5,0.0,212816.0,771.0
6.4875e-5,0.0,212896.0,776.0
6.450000000000001e-5,0.0,213104.0,789.0
6.5375e-5,0.0,212976.0,781.0
7.466700000000001e-5,0.0,213360.0,805.0
7.045900000000001e-5,0.0,213168.0,793.0
6.787500000000001e-5,0.0,213264.0,799.0
6.4625e-5,0.0,213072.0,787.0
7.2292e-5,0.0,213104.0,789.0
6.287500000000001e-5,0.0,213376.0,806.0
6.3209e-5,0.0,212992.0,782.0
6.383300000000001e-5,0.0,212944.0,779.0
6.4291e-5,0.0,212992.0,782.0
6.450000000000001e-5,0.0,212912.0,777.0
6.4417e-5,0.0,213072.0,787.0
6.500000000000001e-5,0.0,212656.0,761.0
6.450000000000001e-5,0.0,212960.0,780.0
6.4916e-5,0.0,212720.0,765.0
6.2041e-5,0.0,213136.0,791.0
6.35e-5,0.0,213328.0,803.0
6.387500000000001e-5,0.0,212560.0,755.0
6.35e-5,0.0,213104.0,789.0
6.5083e-5,0.0,212992.0,782.0
6.3792e-5,0.0,212720.0,765.0
6.4125e-5,0.0,213120.0,790.0
6.787500000000001e-5,0.0,212816.0,771.0
6.4167e-5,0.0,213296.0,801.0
6.4291e-5,0.0,213168.0,793.0
6.416600000000001e-5,0.0,212896.0,776.0
6.35e-5,0.0,213296.0,801.0
6.4291e-5,0.0,212896.0,776.0
0.000530125,0.8608818674840839,213120.0,790.0
5.7875000000000004e-5,0.0,212912.0,777.0
5.783300000000001e-5,0.0,212880.0,775.0
5.7916000000000006e-5,0.0,213136.0,791.0
5.8167e-5,0.0,212736.0,766.0
5.7917e-5,0.0,213056.0,786.0
5.7584e-5,0.0,212928.0,778.0
5.775e-5,0.0,213024.0,784.0
5.7417e-5,0.0,213072.0,787.0
5.7e-5,0.0,213152.0,792.0
5.7583e-5,0.0,212816.0,771.0
5.9125e-5,0.0,212896.0,776.0
5.8083000000000006e-5,0.0,213088.0,788.0
5.7792000000000005e-5,0.0,213056.0,786.0
5.7667e-5,0.0,213072.0,787.0
5.9209e-5,0.0,212832.0,772.0
6.679200000000001e-5,0.0,213056.0,786.0
6.8334e-5,0.0,213520.0,815.0
6.804200000000001e-5,0.0,213008.0,783.0
6.4542e-5,0.0,213136.0,791.0
6.3667e-5,0.0,212784.0,769.0
6.3625e-5,0.0,212672.0,762.0
6.425e-5,0.0,213408.0,808.0
6.466700000000001e-5,0.0,212576.0,756.0
6.4917e-5,0.0,213056.0,786.0
6.3791e-5,0.0,213152.0,792.0
6.4125e-5,0.0,212912.0,777.0
6.450000000000001e-5,0.0,212976.0,781.0
7.462500000000001e-5,0.0,212688.0,763.0
6.483300000000001e-5,0.0,213024.0,784.0
6.804200000000001e-5,0.0,213328.0,803.0
6.854200000000001e-5,0.0,212752.0,767.0
6.3791e-5,0.0,212800.0,770.0
6.337500000000001e-5,0.0,212848.0,773.0
6.400000000000001e-5,0.0,213168.0,793.0
