times,gctimes,memory,allocs
56625.0,0.0,136976,35
49167.0,0.0,136976,35
41667.0,0.0,136976,35
41667.0,0.0,136976,35
41666.0,0.0,136976,35
41584.0,0.0,136976,35
41583.0,0.0,136976,35
41667.0,0.0,136976,35
41292.0,0.0,136976,35
41750.0,0.0,136976,35
41417.0,0.0,136976,35
41500.0,0.0,136976,35
41333.0,0.0,136976,35
41250.0,0.0,136976,35
41625.0,0.0,136976,35
41458.0,0.0,136976,35
41167.0,0.0,136976,35
41500.0,0.0,136976,35
41625.0,0.0,136976,35
42083.0,0.0,136976,35
52000.0,0.0,136976,35
60917.0,0.0,136976,35
50667.0,0.0,136976,35
53583.0,0.0,136976,35
54875.0,0.0,136976,35
51083.0,0.0,136976,35
52292.0,0.0,136976,35
50125.0,0.0,136976,35
50334.0,0.0,136976,35
49083.0,0.0,136976,35
49334.0,0.0,136976,35
48833.0,0.0,136976,35
60792.0,0.0,136976,35
49833.0,0.0,136976,35
51958.0,0.0,136976,35
51959.0,0.0,136976,35
51292.0,0.0,136976,35
49167.0,0.0,136976,35
51834.0,0.0,136976,35
47916.0,0.0,136976,35
53375.0,0.0,136976,35
48542.0,0.0,136976,35
49291.0,0.0,136976,35
51625.0,0.0,136976,35
60125.0,0.0,136976,35
47917.0,0.0,136976,35
49291.0,0.0,136976,35
49500.0,0.0,136976,35
48917.0,0.0,136976,35
47958.0,0.0,136976,35
60459.0,0.0,136976,35
55875.0,0.0,136976,35
45834.0,0.0,136976,35
46041.0,0.0,136976,35
48708.0,0.0,136976,35
54959.0,0.0,136976,35
45541.0,0.0,136976,35
45417.0,0.0,136976,35
45459.0,0.0,136976,35
45500.0,0.0,136976,35
45458.0,0.0,136976,35
45541.0,0.0,136976,35
45541.0,0.0,136976,35
45375.0,0.0,136976,35
46375.0,0.0,136976,35
45417.0,0.0,136976,35
46333.0,0.0,136976,35
45458.0,0.0,136976,35
46209.0,0.0,136976,35
45416.0,0.0,136976,35
46250.0,0.0,136976,35
47042.0,0.0,136976,35
48375.0,0.0,136976,35
47500.0,0.0,136976,35
47125.0,0.0,136976,35
47417.0,0.0,136976,35
47125.0,0.0,136976,35
45833.0,0.0,136976,35
45625.0,0.0,136976,35
46667.0,0.0,136976,35
47083.0,0.0,136976,35
82958.0,0.0,136976,35
45625.0,0.0,136976,35
45417.0,0.0,136976,35
45958.0,0.0,136976,35
45250.0,0.0,136976,35
45333.0,0.0,136976,35
45917.0,0.0,136976,35
45375.0,0.0,136976,35
46042.0,0.0,136976,35
45292.0,0.0,136976,35
45917.0,0.0,136976,35
45375.0,0.0,136976,35
45959.0,0.0,136976,35
46792.0,0.0,136976,35
46541.0,0.0,136976,35
45458.0,0.0,136976,35
53500.0,0.0,136976,35
46833.0,0.0,136976,35
47250.0,0.0,136976,35
47334.0,0.0,136976,35
47167.0,0.0,136976,35
47250.0,0.0,136976,35
55166.0,0.0,136976,35
45959.0,0.0,136976,35
45583.0,0.0,136976,35
47750.0,0.0,136976,35
45584.0,0.0,136976,35
58375.0,0.0,136976,35
45417.0,0.0,136976,35
43666.0,0.0,136976,35
42625.0,0.0,136976,35
44000.0,0.0,136976,35
45209.0,0.0,136976,35
45084.0,0.0,136976,35
45541.0,0.0,136976,35
45709.0,0.0,136976,35
45583.0,0.0,136976,35
45084.0,0.0,136976,35
45708.0,0.0,136976,35
45834.0,0.0,136976,35
